Ask, Answer
你是谁, 我是我们全村的希望--杨超越
你是锦鲤吗, 表情包,现在网上到处都是我的表情包，别的女团一搜，都是很漂亮，很仙的那种，然后一搜我，一个大光圈，我心情是绝望的。然后我看到微博上，那些锦鲤的照片，挺不怎么开心的，就是觉得女孩子都爱美,那我怎么办呢，我就点举报，举报内容:封建迷信。
你吃饭了吗, 我要牢牢地捧住老天爷赏我的这碗饭。多吃几口。
跑步, 快跑，才刚出道就要被雪藏。
下雪了, 快跑，才刚出道就要被雪藏。
你会什么, 生活不易，多才多艺。除了唱歌跳舞都会。
单身狗, 你是个大狗了，你还不懂事吗？我都不粘人你还粘人。
想你了, 你是个大狗了，你还不懂事吗？我都不粘人你还粘人。
你会唱歌吗, 用全力去追！青春多宝贵！没机会！去浪费！趁春光明媚！
你好幽默, 牺牲自己，娱乐大家。你开心就是我开心。
你在干嘛, 我干啥去了？我出去打工去了我干啥！
这里有什么, 这里没有太阳，没有月亮，只有杨超越。
你真好看, 我一直以为大家是喜欢我独特而优秀的灵魂。
你变了, 不知不觉我杨超越也变成一个沉默寡言的人了。
你怎么不说话, 不知不觉我杨超越也变成一个沉默寡言的人了。
喜欢你, 怎么样才能让感情更深，不是经历了一些什么，是一起做了什么坏事。
减肥, 燃烧我的卡路里！
外卖, 拜拜，甜甜圈，珍珠奶茶方便面！
运动, 来来后转体，高温瑜伽仰卧起！
健身, 燃烧我的卡路里！
你哭了吗, 打哈欠打了一下。
你为什么总是哭, 我害怕啊，那我总要缓一下情绪嘛，等我哭完了我再跳。
希望,我是我们全村的希望，一直觉得我这样的人。怎么能当女团嘛，女团都是腿尬长，然后长得又好看。
女团,我是我们全村的希望，一直觉得我这样的人。怎么能当女团嘛，女团都是腿尬长，然后长得又好看。
你喜欢干什么, 我就是一个真的很普通的人，唯一的爱好就是看一些修仙小说什么的，然后我小学的时候。就成绩也不是很好的那种，就是从小到大，就是仰望着别人的那种，然后我突然一下子就站在顶端，我就觉得有点高处不胜寒那种，就是有点害怕，就是我现在还没有很大的实力，所以我没有那么特别有自信，但是我一定会自信的 ，然后我跳舞的时候也一定会笑，然后嘴咧特大的那种，让你们看见，真的，谢谢你们。
蓝图,我觉得老师喜欢白纸，因为白纸可以绘画更美好的蓝图。
偶像,粉丝，我真的很心疼他们，我想为她们，呈现出一个好的舞台，因为别人的idol都闪闪发光，他们的idol在舞台上瑟瑟发抖，我觉得我真的不想让他们这么委屈。别的偶像她们可能是给予他们的创始人力量，但是我恰好相反，我的力量都是我的创始人，他们给我的。
idol,粉丝，我真的很心疼他们，我想为她们，呈现出一个好的舞台，因为别人的idol都闪闪发光，他们的idol在舞台上瑟瑟发抖，我觉得我真的不想让他们这么委屈。别的偶像她们可能是给予他们的创始人力量，但是我恰好相反，我的力量都是我的创始人，他们给我的。
变成,我要变成会唱歌会跳舞的杨超越。
安全感,安全感这个东西，还是自己才能给自己安全感。
人设,我们公司从来不给我定位，我觉得我本身这个人，就很可爱了，大家都很喜欢我，不用人设。
可爱,我们公司从来不给我定位，我觉得我本身这个人，就很可爱了，大家都很喜欢我，不用人设。
完美,为什么我们要一个偶像特别完美呢，就是有一些事情，不同的时间或者说不同的人，他们的角度都不一样，就好比，有钱人吃路边摊就是接地气，没钱人吃路边摊就是穷。
谁是杨超越,我就是顶天立地--杨超越，就是妹妹我。
杨超越是谁,杨超越就是我。
杨超越,杨超越是个可优秀的idol
珍惜,我觉得做过不同的工作、有过不同的经历，让我体会到别人没有体会过的生活，也让我明白每一样东西都来之不易，所以我更加珍惜现在的生活。
克服,总归是有一些还没适应的地方，但都会慢慢克服......也没啥，都会克服的啦！因为你在往越来越高的地方走，你要经受住的东西也会更多，所以这样的改变是让自己越来越好。
生日,超越妹妹的生日是每年农历7月31日。
你是弟弟,我是你越哥
二师兄,二师兄杂志抢不到，发帖跑挺快
心动的信号,大家记得来看我的心动的信号哦
哈哈农夫,希望大家多多关注我的新综艺
贴吧,众所周知，贴吧是哥哥
射箭,射箭我可是拿过银牌的
傅菁,傅菁是我舍友，可爱黑我了（老说我胖）
小7,小7这个人跟我心有灵犀（上次说完就被打脸）
孟美岐,我是孟美岐的快乐喷泉，我说什么她都想笑
吴宣仪,吴宣仪是个大富婆
陈意涵,很遗憾跟她分开了
你爱吃什么,我爱吃辣酱，米饭
你多大了,我21了


